pile1,pile2,pile3
5,18,23
5,19,22
5,20,17
5,21,16
5,22,19
5,23,18
5,24,29
5,25,28
5,26,31
5,27,30
5,28,25
5,29,24
5,30,27
5,31,26
5,32,37
5,33,36
5,34,39
5,35,38
5,36,33
5,37,32
5,38,35
5,39,34
5,40,45
5,41,44
5,42,47
5,43,46
5,44,41
5,45,40
5,46,43
5,47,42
5,48,53
5,49,52
5,50,55
5,51,54
5,52,49
5,53,48
5,54,51
5,55,50
5,56,61
5,57,60
5,58,63
5,59,62
5,60,57
5,61,56
5,62,59
5,63,58
5,64,69
5,65,68
5,66,71
5,67,70
5,68,65
5,69,64
5,70,67
5,71,66
5,72,77
5,73,76
5,74,79
5,75,78
5,76,73
5,77,72
5,78,75
5,79,74
5,80,85
5,81,84
5,82,87
5,83,86
5,84,81
5,85,80
5,86,83
5,87,82
5,88,93
5,89,92
5,90,95
5,91,94
5,92,89
5,93,88
5,94,91
5,95,90
5,97,100
5,100,97
6,0,6
6,1,7
6,2,4
6,3,5
6,4,2
6,5,3
6,6,0
6,7,1
6,8,14
6,9,15
6,10,12
6,11,13
6,12,10
6,13,11
6,14,8
6,15,9
6,16,22
6,17,23
6,18,20
6,19,21
6,20,18
6,21,19
6,22,16
6,23,17
6,24,30
6,25,31
6,26,28
6,27,29
6,28,26
6,29,27
6,30,24
6,31,25
6,32,38
6,33,39
6,34,36
6,35,37
6,36,34
6,37,35
6,38,32
6,39,33
6,40,46
6,41,47
6,42,44
6,43,45
6,44,42
6,45,43
6,46,40
6,47,41
6,48,54
6,49,55
6,50,52
6,51,53
6,52,50
6,53,51
6,54,48
6,55,49
6,56,62
6,57,63
6,58,60
6,59,61
6,60,58
6,61,59
6,62,56
6,63,57
6,64,70
6,65,71
6,66,68
6,67,69
6,68,66
6,69,67
6,70,64
6,71,65
6,72,78
6,73,79
6,74,76
6,75,77
6,76,74
6,77,75
6,78,72
6,79,73
6,80,86
6,81,87
6,82,84
6,83,85
6,84,82
6,85,83
6,86,80
6,87,81
6,88,94
6,89,95
6,90,92
6,91,93
6,92,90
6,93,91
6,94,88
6,95,89
6,98,100
6,100,98
7,0,7
7,1,6
7,2,5
7,3,4
7,4,3
7,5,2
7,6,1
7,7,0
7,8,15
7,9,14
7,10,13
7,11,12
7,12,11
7,13,10
7,14,9
7,15,8
7,16,23
7,17,22
7,18,21
7,19,20
7,20,19
7,21,18
7,22,17
7,23,16
7,24,31
7,25,30
7,26,29
7,27,28
7,28,27
7,29,26
7,30,25
7,31,24
7,32,39
7,33,38
7,34,37
7,35,36
7,36,35
7,37,34
7,38,33
7,39,32
7,40,47
7,41,46
7,42,45
7,43,44
7,44,43
7,45,42
7,46,41
7,47,40
7,48,55
7,49,54
7,50,53
7,51,52
7,52,51
7,53,50
7,54,49
7,55,48
7,56,63
7,57,62
7,58,61
7,59,60
7,60,59
7,61,58
7,62,57
7,63,56
7,64,71
7,65,70
7,66,69
7,67,68
7,68,67
7,69,66
7,70,65
7,71,64
7,72,79
7,73,78
7,74,77
7,75,76
7,76,75
7,77,74
7,78,73
7,79,72
7,80,87
7,81,86
7,82,85
7,83,84
7,84,83
7,85,82
7,86,81
7,87,80
7,88,95
7,89,94
7,90,93
7,91,92
7,92,91
7,93,90
7,94,89
7,95,88
7,99,100
7,100,99
8,0,8
8,1,9
8,2,10
8,3,11
8,4,12
8,5,13
8,6,14
8,7,15
8,8,0
8,9,1
8,10,2
8,11,3
8,12,4
8,13,5
8,14,6
8,15,7
8,16,24
8,17,25
8,18,26
8,19,27
8,20,28
8,21,29
8,22,30
8,23,31
8,24,16
8,25,17
8,26,18
8,27,19
8,28,20
8,29,21
8,30,22
8,31,23
8,32,40
8,33,41
8,34,42
8,35,43
8,36,44
8,37,45
8,38,46
8,39,47
8,40,32
8,41,33
8,42,34
8,43,35
8,44,36
8,45,37
8,46,38
8,47,39
8,48,56
8,49,57
8,50,58
8,51,59
8,52,60
8,53,61
8,54,62
8,55,63
8,56,48
8,57,49
8,58,50
8,59,51
8,60,52
8,61,53
8,62,54
8,63,55
8,64,72
8,65,73
8,66,74
8,67,75
8,68,76
8,69,77
8,70,78
8,71,79
8,72,64
8,73,65
8,74,66
8,75,67
8,76,68
8,77,69
8,78,70
8,79,71
8,80,88
8,81,89
8,82,90
8,83,91
8,84,92
8,85,93
8,86,94
8,87,95
8,88,80
8,89,81
8,90,82
8,91,83
8,92,84
8,93,85
8,94,86
8,95,87
9,0,9
9,1,8
9,2,11
9,3,10
9,4,13
9,5,12
9,6,15
9,7,14
9,8,1
9,9,0
9,10,3
9,11,2
9,12,5
9,13,4
9,14,7
9,15,6
9,16,25
9,17,24
9,18,27
9,19,26
9,20,29
9,21,28
9,22,31
9,23,30
9,24,17
9,25,16
9,26,19
9,27,18
9,28,21
9,29,20
9,30,23
9,31,22
9,32,41
9,33,40
9,34,43
9,35,42
9,36,45
9,37,44
9,38,47
9,39,46
9,40,33
9,41,32
9,42,35
9,43,34
9,44,37
9,45,36
9,46,39
9,47,38
9,48,57
9,49,56
9,50,59
9,51,58
9,52,61
9,53,60
9,54,63
9,55,62
9,56,49
9,57,48
9,58,51
9,59,50
9,60,53
9,61,52
9,62,55
9,63,54
9,64,73
9,65,72
9,66,75
9,67,74
9,68,77
9,69,76
9,70,79
9,71,78
9,72,65
9,73,64
9,74,67
9,75,66
9,76,69
9,77,68
9,78,71
9,79,70
9,80,89
9,81,88
9,82,91
9,83,90
9,84,93
9,85,92
9,86,95
9,87,94
9,88,81
9,89,80
9,90,83
9,91,82
9,92,85
9,93,84
9,94,87
9,95,86
10,0,10
10,1,11
10,2,8
10,3,9
10,4,14
10,5,15
10,6,12
10,7,13
10,8,2
10,9,3
10,10,0
10,11,1
10,12,6
10,13,7
10,14,4
10,15,5
10,16,26
10,17,27
10,18,24
10,19,25
10,20,30
10,21,31
10,22,28
10,23,29
10,24,18
10,25,19
10,26,16
10,27,17
10,28,22
10,29,23
10,30,20
10,31,21
10,32,42
10,33,43
10,34,40
10,35,41
10,36,46
10,37,47
10,38,44
10,39,45
10,40,34
10,41,35
10,42,32
10,43,33
10,44,38
10,45,39
10,46,36
10,47,37
10,48,58
10,49,59
10,50,56
10,51,57
10,52,62
10,53,63
10,54,60
10,55,61
10,56,50
10,57,51
10,58,48
10,59,49
10,60,54
10,61,55
10,62,52
10,63,53
10,64,74
10,65,75
10,66,72
10,67,73
10,68,78
10,69,79
10,70,76
10,71,77
10,72,66
10,73,67
10,74,64
10,75,65
10,76,70
10,77,71
10,78,68
10,79,69
10,80,90
10,81,91
10,82,88
10,83,89
10,84,94
10,85,95
10,86,92
10,87,93
10,88,82
10,89,83
10,90,80
10,91,81
10,92,86
10,93,87
10,94,84
10,95,85
11,0,11
11,1,10
11,2,9
11,3,8
11,4,15
11,5,14
11,6,13
11,7,12
11,8,3
11,9,2
11,10,1
